ID,ObsType,ObsID,Latitude,Longitude,Elevation(m),LocalDate,LocalTime,UTDate,UTTime,LimitingMag,SQMReading,Country,SQMSerial,CloudCover,Constellation,LocationComment,SkyComment
130498,DSM,3732,40.4593,-79.9663,237.07,2014-02-03,22:23:38,2014-02-04,03:23,6,20.11,United States - Pennsylvania,,over 1/2 of sky,,,"From ""Dark Sky Meter""  sky: ""over 1/2 of sky"""
138557,GAN,16281,40.4341,-79.8144,326.66,2014-09-22,21:32,2014-09-23,01:32,2,,United States - Pennsylvania,,1/4 of sky,Cygnus,,Cloudy but there are some openings
138607,GAN,16327,40.4449,-79.9604,339.15,2014-09-23,21:09,2014-09-24,01:09,1,,United States - Pennsylvania,,clear,Cygnus,made observation from a path lined with tall street lights at the top of a hill,No clouds seen
138625,GAN,16345,40.447,-79.9533,285.68,2014-09-23,23:08,2014-09-24,03:08,2,,United States - Pennsylvania,,clear,Cygnus,,
138660,GAN,16389,40.4457,-79.9564,284.9,2014-09-24,20:20,2014-09-25,00:20,2,,United States - Pennsylvania,,clear,Cygnus,"Urban location, not many street lights in the direct vicinity, but it is on a university campus so the whole area has more lights in general.","The sky was not extremely dark, it looked like it was dark blue. On first glance, it was hard to see any stars. After some time, I could see stars in my peripheral vision."
138884,GAN,16653,40.4379,-79.9556,276.54,2014-09-23,22:30,2014-09-24,02:30,2,,United States - Pennsylvania,,1/2 of sky,Cygnus,,It was partially cloudy so it was hard to distinguish. It was also polluted by the surrounding light.
138885,GAN,16654,40.4379,-79.9556,276.54,2014-09-23,21:20,2014-09-24,01:20,2,,United States - Pennsylvania,,clear,Cygnus,,It was a touch hard to see because of the surround area's light pollution.
138902,GAN,16692,40.4586,-79.8185,366.09,2014-09-15,21:30,2014-09-16,01:30,3,,United States - Pennsylvania,,clear,Cygnus,Urban Area; a lot of hills surrounded by wooded areas providing shade from street lights; relatively close to interstate highway. Moderate light pollution.,Clear; 64% humidity; 64F; warm pleasant evening; no wind.
138903,GAN,16693,40.4586,-79.8185,366.09,2014-09-16,21:45,2014-09-17,01:45,3,,United States - Pennsylvania,,clear,Cygnus,Urban area; hills surrounded by wooded areas; some street lights. relatively close to interstate highway (>3mls). 1 story shopping center within 1 mile adding some light glowing low on the western horizon.,Clear skies; 74% humidity; 60F. Winds at 5mls NW.
141209,GAN,19480,40.4345,-79.9643,254.96,2014-11-20,21:30,2014-11-21,02:30,1,,United States - Pennsylvania,,1/2 of sky,Perseus,"Urban environment, substantial light pollution interfering.","Low, sporadic clouds"
141210,GAN,19481,40.4417,-79.953,272.98,2014-12-11,20:00,2014-12-12,01:00,2,,United States - Pennsylvania,,1/2 of sky,Perseus,"Less lights, but still in the city","It was a little cloudy, but I could still see stars"
141226,GAN,19503,40.4406,-79.9959,233.29,2014-11-15,22:45,2014-11-16,03:45,-9999,,United States - Pennsylvania,,over 1/2 of sky,Perseus,,
